"Candidate_Entity.id","Candidate","Num_of_Records","Total_dollar"
23442332,"HORROCKS JR, ROBERT C",0,0
23442333,"MAY, RICHARD",0,0
23442334,"KLEPINGER, ROBERT",8,4852.9
23442337,"ZETZER, MARK",0,0
23442338,"TIBBS, DAVID ARTHUR",0,0
23442339,"HART, BOB",21,6693.21
23442341,"LUCHANSKY, JOHN STEPHEN",0,0
23442342,"WAGER, MICHAEL",1980,1176013.62
23442345,"DONENWIRTH, JAMES",0,0
23442347,"REEVES, ERNEST TYRONE",0,0
23442349,"STEWART JR, WILLIAM CURTIS",0,0
23442350,"HAUGH, SEAN NEWTON",33,10433
23442352,"BRADSHAW, ALEX LEE",0,0
23442353,"KRYN, EDWARD THADDE",0,0
23442354,"BRANNON, GREGORY J",3809,1569462.82
23442355,"GRANT, HEATHER ANDERSON",11,5289
23442356,"SNYDER JR, JAMES EUGENE",1,1610
23442357,"HARRIS, MARK EVERETTE",1429,1072041.5
23442358,"ALEXANDER III, WILLIAM THEODORE (TED)",39,31650
23442414,"HARRIS-TILL, JOSHUA",0,0
23442417,"LEONARD, LEONA",0,0
23442441,"DOUTHITT, JON",8,15502
23442442,"JOHNSON, DENNIS B.",0,0
23442443,"BOGGS, TOM",0,0
23442445,"RAY, BUDDY",0,0
23442529,"ROBERTSON, DARREL",42,31708.97
23442531,"FLATT, ANNA",0,0
23442533,"SPARKS, HARVEY",39,44213.8
23442571,"HAYES, PATRICK MICHAEL",0,0
23442573,"JOHNSON, CONNIE",194,133258.81
23442575,"CRAIG, ANDY",0,0
23442576,"CROW, KEVIN",31,5499
23442577,"MCCRAY, ERIC C",0,0
23442578,"WEGER, JASON",7,4550
23442580,"DELOZIER, AARON",0,0
23442581,"FARR, JOAN",11,9450.75
23442582,"WOODS, RAY",0,0
23442583,"MCBRIDE-SAMUELS, D. JEAN",0,0
23442584,"MOYE, ROB",0,0
23442586,"WYATT, ERICK PAUL",0,0
23442587,"INHOFE, JIM",5042,4058842.97
23442590,"LAVALLEE, DANIEL CHARLES",669,406121.46
23442594,"THOMPSON, LINDA DELIAH",8,7468.9
23442596,"TARANTELLA, THOMAS",7,5873.97
23442597,"TAYLOR, KERITH STRANO",381,142889.75
23442600,"BALCHUNIS, MARY ELLEN",703,293529.18
23442601,"NAUGHTON, SHAUGHNESSY",5280,1800134.1
23442603,"HARTZOK, ALANNA K",21,11647
23442605,"BRION, SCOTT F",225,185306.59
23442606,"OSTROWSKI, ANDREW JOSEPH",37,7425
23442609,"MCCLELLAND, ERIN R",993,604177.94
23442615,"KITTAPPA, RAJA",36,9827
23442788,"RATH, MEGAN ANN",47,49206.46
23442790,"JAMES, ARMOND",0,0
23442796,"COSTELLO, RYAN A",3427,4268043.68
23442803,"SCHOOLEY, TRAVIS G",97,29097.79
23442805,"PLOSA-BOWSER, BEVERLY A",21,27825
23442811,"DIETZ, MATTHEW",73,47470
23442812,"MOYLAN, DAVID J",78,85835
23449499,"SCHOLTE, SUZANNE K",371,225639.08
23469029,"MOFFATT, JEFFREY",0,0
23592879,"BARR, CHRISTINA L",0,0
23593016,"VANDERSTELT, DEAN",334,45096.61
23593018,"HOLMES, JEFF",128,107062.76
23593020,"DARGA, KEN",0,0
23593021,"HANK, JEFFREY",0,0
23593024,"MCKENZIE, BOBBY",1003,781742.1
23593030,"ARCAND, ALAN",21,30382
23593033,"WHITMIRE, TOM",0,0
23593034,"BUSSLER, JIM",61,5498
23593035,"NORTH, DOUGLAS RADCLIFFE",0,0
23593043,"BOWMAN, TERRY",67,46046.77
23593046,"CONYERS, CHRISTINA",0,0
23593051,"WALSH, MARTIN",32,14063.65
23593057,"COX, DAVID",1,1921
23593058,"MEYERS, VIC",155,61924.77
23593059,"CHAPIN, DAN",0,0
23593063,"RAYBURN, BENTLEY B",74,87431
23594534,"ALM, VANCE",7,10791.45
23594536,"DEMPSEY, BRIAN",2,835
23594537,"LEE, ED",0,0
23594538,"SPEES, KRISTEN",65,8106
23594540,"BROWN, STEVE",0,0
23594541,"BUDETICH JR, MARK JOHN",0,0
23594543,"INNIS, NIGER",139,180651.91
23594544,"MONROE, MIKE",0,0
23594547,"CHARLES, RICHARD (RICARDO CARLOS)",0,0
23594548,"PADILLA, JOSE",26,29075.49
23594551,"BILBRAY, ERIN K",1828,1155743.36
23594553,"GOOSSEN, DAVID SCOTT",0,0
23594558,"KIMMICK, RANDY JAMES",0,0
23594559,"STJOHN, STEVEN",0,0
23598520,"STEVENSON, WILLIAM D",0,0
23598522,"LALLY, GRANT M",197,186350.42
23598524,"ABRAHAMS, KEVIN M",203,179727
23598539,"KURZON, JEFFREY M",170,94031
23598540,"FERNANDEZ, JOSE LUIS",63,21408
23598547,"BRADY, ROSS",0,0
23598568,"FERRIN, LOLITA",0,0
23598570,"RECCHIA JR, DOMENIC M",2874,2488845.74
23598574,"DI IORIO, NICHOLAS S",131,87092.39
23598576,"WARLROND JR, MICHAEL A",305,188566.83
23598577,"GARCIA, YOLANDA",0,0
23598580,"VILA RIVERA, DANIEL",8,1951.33
23598589,"SLOAN, SAM",0,0
23598596,"DAY, CHRISTOPHER E",292,203457.14
23598599,"HAYWORTH, NAN",6519,8489166.76
23598603,"FISCHER, JAMES M (JIM)",119,114554.27
23598605,"WOOLF, AARON G",1253,1406793.77
23598613,"FUNICIELLO, MATTHEW J",18,9444
23598662,"ROBERTSON, MARTHA",6411,2315621.99
23598676,"KATKO, JOHN M",3639,3664926.51
23598678,"ASSINI, MARK W",620,413527.78
23598681,"WEPPNER, KATHLEEN A",64,73128
23598682,"ODONNELL, JAMES D",15,10515
23599994,"SCHROEDER, HANK",0,0
24351693,"RIEDEL, ANTHONY T",38,23135.08
24351695,"BRAT, DAVID ALAN",3708,2829389.54
24351701,"EUILLE, WILLIAM D (BILL)",471,400505.93
24351702,"HYRA, DEREK S",54,36352.29
24351705,"ADAME, MARSHALL",46,25387.76
24351711,"MACQUEEN IV, PETER TATUM",114,81688.29
24352076,"BOWDEN, CRAIG",9,2922
24352080,"VANCE, DWAYNE A",0,0
24352082,"HARTMAN, ZACHARY A",1,17100
24352083,"HATTON, VAUGHN",0,0
24352087,"HEDENGREN, MARK",0,0
24352088,"MATES, BEN J",0,0
24352089,"STEVENS, ROBERT J",0,0
24352090,"STRONG, ZACK",0,0
24352092,"WONNACOTT, BRIAN",0,0
24352095,"OWENS, DOUG",978,863604.16
24352096,"PETERSON, BILL",0,0
24352097,"SIMONSEN, COLLIN ROBERT",0,0
24355067,"KROM, JOHN",30,7353.98
24355100,"DUNN, DONNA",0,0
24355102,"PETERMANN, JEFF",0,0
24390361,"KAIS, SHELLEY",67,40184.09
24398239,"CLAWSON, CURT",651,798557.04
24499650,"MANESS, ROBERT L",12291,3616630.45
24568943,"PALOMARES-STARBUCK, LORENZO (LARRY)",54,304135
24607868,"MODARRES, SHAYAN",63,44669
24616302,"RITCHIE, JASON",195,216891.56
24623995,"LOWE, THUY",168,79271.34
24630199,"JENKINS, JAMES JEFFREY (JIM)",141,306976.1
24661885,"FREEMAN, APRIL",252,232500.72
24666993,"WILCOX, MARY ROSE",700,809494.9
24731365,"WOOTEN, CHUCK",74,37605.24
24731368,"SAUCEDO MERCER, GABBY",174,96606.83
24731371,"WOODS, JAMES",51,63706.06
24731373,"CAMACHO, RANDY",0,0
24731376,"MAUPIN, JARRETT",31,21321.05
24761954,"BRYK, WILLIAM (BILL)",0,0
24761956,"JARAMILLO, JOHN M",0,0
24761957,"KILE, ZACHARY A",0,0
24761963,"WALKER, THOM M",0,0
24761965,"DOHNER, DAVID F (DAVE)",0,0
24761967,"SEAWARD, DAVID",0,0
24761987,"CARAWAY, HARDY",0,0
24762718,"JOHNSON, TAMARA HARRIS",26,16988
24793891,"FREY, MIKE",0,0
24799879,"CAREY, THOMAS L",0,0
24799881,"CARTER, TOM",12,4572
24799882,"KELLY, TAVISH C",16,10420.13
24799886,"WALLEY, LAJENA",0,0
24799887,"SHOEMAKE, SHELLEY",0,0
24799889,"JACKSON, ELI (SARGE)",0,0
24799891,"MURPHY, RICHARD P",10,5401
24801784,"PIERSON, KATRINA",288,212559.65
24801785,"SMITH, LARRY S",185,120224.5
24802767,"NOLTE, DONALD W",6,1335
24802769,"RUSSELL, DONALD",0,0
24802771,"ANDREWS, MATTHEW",0,0
24802878,"LETSOS, NIKO",0,0
24802881,"WALTER-CADIEN, TAWANA",15,10079
24802882,"GREENE, MARK",323,80206.5
24802883,"MINTER, MIKE",0,0
24802886,"HAYNES, NICK",0,0
24802892,"MCGEHEARTY, PATRICK",12,10001
24802893,"REED, WESLEY",460,307369.32
24802896,"MINOR, LOUIE",197,64113.12
24802904,"PEREZ, FRANK",11,7715
24804207,"PETERS, CHRISTOPHER",189,216592.81
24811405,"ELDER, DANIEL J",0,0
24811406,"KOEHR, DAVID",0,0
24811408,"STEINMAN, VELMA",0,0
24811409,"DENTON, COURTNEY",0,0
24811414,"IRVIN, NATE",15,13307
24811419,"HOLMES, ERIC",17,9154.99
24811420,"LINDSEY, CHARLES",0,0
24811421,"LINDSEY, BILL",20,4577.67
24811422,"KNOX, BERTON A",0,0
24811423,"BURRIS, MICHAEL",22,10720
24811425,"WELBORN, ROY",0,0
24811427,"FIELDS, EDWARD DWAYNE",0,0
24811428,"CROSE, GARY LYNN",0,0
24811429,"REID, KYLE",0,0
24811430,"THARP, BRIAN L",0,0
24811432,"WILLIAMS, GENEVIEVE",31,20564.3
24811708,"SENTENEY, JASON ADAM",0,0
24811709,"CLIFTON, ARTHUR BRUCE",0,0
24811711,"GREGORY, JAMES (COALTRAIN)",0,0
24811713,"HARDY, CHARLIE",104,51723.91
24811714,"MILLER, BRYAN EDWARD",8,19941.87
24811719,"MCNULTY, TERRY",16,11708.17
24811826,"CRAIG, ANDY",25,2591.57
24811847,"KALEKA, AMAR",146,156502.61
24811852,"MUELLER, KAREN L",5,2990
24811853,"GEORGE, GARY R",0,0
24811856,"DENOW, TOM",0,0
24811858,"FAHRENDORF, GUS",0,0
24811862,"DALE, LAWRENCE",0,0
24811868,"THE MOVER, MIKE",0,0
24811869,"TODD, RICHARD J",0,0
24811871,"SUTHERLAND, ROBERT J",81,37667.5
24811883,"DINGETHAL, BOB",350,151894.92
24811884,"DELAVAR, MICHAEL",51,20170.7
24811891,"BELTRAN, ESTAKIO",114,108183
24811892,"RAMIREZ, JOSH",0,0
24811895,"CICOTTE, GEORGE FREDERICK",91,86548
24811896,"MIDBUST, KEVIN",0,0
24811897,"SEIM, GAVIN",22,14207
24811898,"PROSS, GORDON ALLEN",0,0
24811903,"PAKOOTAS, JOSEPH (JOE)",278,191187.41
24811904,"HORNE, TOM",40,13642.95
24811909,"MCPHERSON, W (GREYBEARD)",0,0
24811915,"MCQUAID, DOUG",0,0
24812534,"ALLISON, JOY",0,0
24812536,"EVANS, BRIAN",0,0
24812537,"FRIEL JR, HARRY J",0,0
24812539,"KOKOSKI, MICHAEL",0,0
24812545,"CHANG, STANLEY",1136,651320.03
24812548,"GRIFFIN, CALVIN G",0,0
24812550,"LEVENE, ALLAN",0,0
24812554,"XIAN, KATHRYN",27,13796.47
24812555,"CAPELOUTO, MARISSA D",0,0
24812557,"GABBARD, TULSI",1971,1623607.42
24812558,"KENT, JOE",0,0
