request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
s=WA&y=2016&c-t-id=208835,c-t-id,208835,"KRISTIANSEN, DANIEL P (DAN)",c-t-eid,2810681,"KRISTIANSEN, DANIEL P (DAN)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8327,"HOUSE DISTRICT 039-POSITION 1",c-t-ico,I,Incumbent,432,266245.33
s=WA&y=2016&c-t-id=208841,c-t-id,208841,"KRUGER-LEAVITT, MARI",c-t-eid,40587766,"KRUGER-LEAVITT, MARI",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8300,"HOUSE DISTRICT 028-POSITION 1",c-t-ico,C,Challenger,354,264204.83
s=WA&y=2016&c-t-id=208955,c-t-id,208955,"WILCOX III, JAMES T (JT)",c-t-eid,2605453,"WILCOX III, JAMES T (JT)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8236,"HOUSE DISTRICT 002-POSITION 2",c-t-ico,I,Incumbent,821,260232.13
s=WA&y=2016&c-t-id=209302,c-t-id,209302,"JONES, ERIN",c-t-eid,40335670,"JONES, ERIN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,101,NONPARTISAN,c-t-p,4,Nonpartisan,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,9397,"SUPERINTENDENT OF PUBLIC INSTRUCTION",c-t-ico,O,Open,2256,254153.65
s=WA&y=2016&c-t-id=208737,c-t-id,208737,"CALDIER, MICHELLE D",c-t-eid,15737439,"CALDIER, MICHELLE D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8297,"HOUSE DISTRICT 026-POSITION 2",c-t-ico,I,Incumbent,756,251357.86
s=WA&y=2016&c-t-id=208892,c-t-id,208892,"REEVES, KRISTINE",c-t-eid,40587794,"REEVES, KRISTINE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8309,"HOUSE DISTRICT 030-POSITION 2",c-t-ico,C,Challenger,448,246108.53
s=WA&y=2016&c-t-id=208888,c-t-id,208888,"PURCELL, TERESA",c-t-eid,40587790,"PURCELL, TERESA",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8275,"HOUSE DISTRICT 019-POSITION 1",c-t-ico,O,Open,646,240295.31
s=WA&y=2016&c-t-id=209253,c-t-id,209253,"CLEVELAND, ANNETTE M",c-t-eid,2674146,"CLEVELAND, ANNETTE M",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8606,"SENATE DISTRICT 049",c-t-ico,I,Incumbent,768,239796.45
s=WA&y=2016&c-t-id=209251,c-t-id,209251,"BRAUN, JOHN E",c-t-eid,2649318,"BRAUN, JOHN E",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8577,"SENATE DISTRICT 020",c-t-ico,I,Incumbent,509,236607.69
s=WA&y=2016&c-t-id=208729,c-t-id,208729,"BOWLING, IRENE",c-t-eid,24812010,"BOWLING, IRENE",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,66,"INDEPENDENT DEMOCRATIC",c-t-p,3,Third-Party,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8319,"HOUSE DISTRICT 035-POSITION 1",c-t-ico,C,Challenger,416,234134.05
s=WA&y=2016&c-t-id=208876,c-t-id,208876,"PATTI, CRAIG",c-t-eid,2657983,"PATTI, CRAIG",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,66,"INDEPENDENT DEMOCRATIC",c-t-p,3,Third-Party,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8320,"HOUSE DISTRICT 035-POSITION 2",c-t-ico,C,Challenger,320,232680.68
s=WA&y=2016&c-t-id=208914,c-t-id,208914,"SHIH, DANIEL J (DAN)",c-t-eid,40587801,"SHIH, DANIEL J (DAN)",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8339,"HOUSE DISTRICT 043-POSITION 1",c-t-ico,O,Open,1198,230792.13
s=WA&y=2016&c-t-id=208744,c-t-id,208744,"CHOPP JR, FRANK V",c-t-eid,2639351,"CHOPP JR, FRANK V",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8340,"HOUSE DISTRICT 043-POSITION 2",c-t-ico,I,Incumbent,432,229338.61
s=WA&y=2016&c-t-id=208867,c-t-id,208867,"ONDRACEK, KATRINA",c-t-eid,40587779,"ONDRACEK, KATRINA",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8342,"HOUSE DISTRICT 044-POSITION 2",c-t-ico,C,Challenger,224,228221.07
s=WA&y=2016&c-t-id=208825,c-t-id,208825,"KIM, SAM",c-t-eid,40587755,"KIM, SAM",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,66,"INDEPENDENT DEMOCRATIC",c-t-p,3,Third-Party,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8271,"HOUSE DISTRICT 017-POSITION 1",c-t-ico,O,Open,275,227766.60
s=WA&y=2016&c-t-id=209275,c-t-id,209275,"PALUMBO, GUY F",c-t-eid,11951746,"PALUMBO, GUY F",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8558,"SENATE DISTRICT 001",c-t-ico,O,Open,337,227476.43
s=WA&y=2016&c-t-id=208951,c-t-id,208951,"WALTHERS, LANE",c-t-eid,40587824,"WALTHERS, LANE",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,66,"INDEPENDENT DEMOCRATIC",c-t-p,3,Third-Party,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8311,"HOUSE DISTRICT 031-POSITION 2",c-t-ico,O,Open,211,206752.73
s=WA&y=2016&c-t-id=208733,c-t-id,208733,"BURNER, DARCY",c-t-eid,40587706,"BURNER, DARCY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8242,"HOUSE DISTRICT 005-POSITION 2",c-t-ico,O,Open,1036,206363.39
s=WA&y=2016&c-t-id=209207,c-t-id,209207,"MILOSCIA, MARK A",c-t-eid,3800343,"MILOSCIA, MARK A",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,9399,AUDITOR,c-t-ico,O,Open,851,203635.12
s=WA&y=2016&c-t-id=208950,c-t-id,208950,"WALSH, JAMES W (JIM)",c-t-eid,40343757,"WALSH, JAMES W (JIM)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8275,"HOUSE DISTRICT 019-POSITION 1",c-t-ico,O,Open,352,198718.55
s=WA&y=2016&c-t-id=209215,c-t-id,209215,"UPTHEGROVE, DAVID P (DAVE)",c-t-eid,2768659,"UPTHEGROVE, DAVID P (DAVE)",c-t-ftsts,"Lost-Top Two Primary","Lost-Top Two Primary",c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,9395,"COMMISSIONER OF PUBLIC LANDS",c-t-ico,O,Open,912,198077.17
s=WA&y=2016&c-t-id=209305,c-t-id,209305,"REYKDAL, CHRIS P",c-t-eid,13007697,"REYKDAL, CHRIS P",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,101,NONPARTISAN,c-t-p,4,Nonpartisan,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,9397,"SUPERINTENDENT OF PUBLIC INSTRUCTION",c-t-ico,O,Open,970,197425.65
s=WA&y=2016&c-t-id=209373,c-t-id,209373,"WILSON, DAVID J (DAVE)",c-t-eid,3593135,"WILSON, DAVID J (DAVE)",c-t-ftsts,"Lost-Top Two Primary","Lost-Top Two Primary",c-t-sts,2,Lost,c-t-pt,62,INDEPENDENT,c-t-p,3,Third-Party,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15392,"US HOUSE DISTRICT WA 005",c-t-ico,C,Challenger,59,194370.44
s=WA&y=2016&c-t-id=208791,c-t-id,208791,"GOODMAN, ROGER E",c-t-eid,13007917,"GOODMAN, ROGER E",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8343,"HOUSE DISTRICT 045-POSITION 1",c-t-ico,I,Incumbent,589,191586.75
s=WA&y=2016&c-t-id=209360,c-t-id,209360,"RIVERS, DONOVAN LAMONT (DON)",c-t-eid,17658732,"RIVERS, DONOVAN LAMONT (DON)",c-t-ftsts,"Lost-Top Two Primary","Lost-Top Two Primary",c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15394,"US HOUSE DISTRICT WA 007",c-t-ico,O,Open,65,190726.79
s=WA&y=2016&c-t-id=209297,c-t-id,209297,"WYSS, JON",c-t-eid,40587959,"WYSS, JON",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8569,"SENATE DISTRICT 012",c-t-ico,O,Open,535,186441.93
s=WA&y=2016&c-t-id=209249,c-t-id,209249,"BILLIG, ANDREW S (ANDY)",c-t-eid,2648695,"BILLIG, ANDREW S (ANDY)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8560,"SENATE DISTRICT 003",c-t-ico,I,Incumbent,463,185764.32
s=WA&y=2016&c-t-id=209241,c-t-id,209241,"YIN, PHILLIP",c-t-eid,40587934,"YIN, PHILLIP",c-t-ftsts,"Lost-Top Two Primary","Lost-Top Two Primary",c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,9396,"LIEUTENANT GOVERNOR",c-t-ico,O,Open,287,182652.71
s=WA&y=2016&c-t-id=208828,c-t-id,208828,"KLOBA, SHELLEY",c-t-eid,40587756,"KLOBA, SHELLEY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8234,"HOUSE DISTRICT 001-POSITION 2",c-t-ico,O,Open,447,182011.83
s=WA&y=2016&c-t-id=209248,c-t-id,209248,"BECKER, RANDI L",c-t-eid,13013773,"BECKER, RANDI L",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8559,"SENATE DISTRICT 002",c-t-ico,I,Incumbent,350,179965.76
s=WA&y=2016&c-t-id=208847,c-t-id,208847,"MACRI, NICOLE",c-t-eid,40485169,"MACRI, NICOLE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8339,"HOUSE DISTRICT 043-POSITION 1",c-t-ico,O,Open,1090,177855.15
s=WA&y=2016&c-t-id=209319,c-t-id,209319,"WAITE, MICHAEL",c-t-eid,40587974,"WAITE, MICHAEL",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,9403,TREASURER,c-t-ico,O,Open,778,177513.11
s=WA&y=2016&c-t-id=208903,c-t-id,208903,"SAWYER, DAVID J",c-t-eid,13007765,"SAWYER, DAVID J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8302,"HOUSE DISTRICT 029-POSITION 1",c-t-ico,I,Incumbent,295,173412.95
s=WA&y=2016&c-t-id=209206,c-t-id,209206,"MCCARTHY, PAT (PATRICE)",c-t-eid,40587907,"MCCARTHY, PAT (PATRICE)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,9399,AUDITOR,c-t-ico,O,Open,537,168518.80
