request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=142307,c-t-id,142307,"DAVIS, GARY GENE",c-t-eid,17658975,"DAVIS, GARY GENE",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,177,WRITEIN,c-t-p,3,Third-Party,s,TN,TN,y,2012,2012,c-r-t,1,Standard,c-r-osid,14966,"US SENATE DISTRICT TN SW-CLASS I",c-t-ico,C,Challenger,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=142322,c-t-id,142322,"YARBROUGH, GRADY",c-t-eid,17658989,"YARBROUGH, GRADY",c-t-ftsts,"Lost-Primary Runoff","Lost-Primary Runoff",c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,TX,TX,y,2012,2012,c-r-t,1,Standard,c-r-osid,14967,"US SENATE DISTRICT TX SW-CLASS I",c-t-ico,O,Open,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=142324,c-t-id,142324,"FISK, KEVIN D",c-t-eid,17658991,"FISK, KEVIN D",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,UT,UT,y,2012,2012,c-r-t,1,Standard,c-r-osid,15453,"US SENATE DISTRICT UT SW-CLASS I",c-t-ico,C,Challenger,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=142339,c-t-id,142339,"BLASS, PIOTR",c-t-eid,6556900,"BLASS, PIOTR",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,177,WRITEIN,c-t-p,3,Third-Party,s,FL,FL,y,2012,2012,c-r-t,1,Standard,c-r-osid,15418,"US SENATE DISTRICT FL SW-CLASS I",c-t-ico,C,Challenger,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143005,c-t-id,143005,"GARAAS, STEPHEN",c-t-eid,17660732,"GARAAS, STEPHEN",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,250,"CONSTITUTION WRITEIN",c-t-p,3,Third-Party,s,ND,ND,y,2012,2012,c-r-t,1,Standard,c-r-osid,15437,"US SENATE DISTRICT ND SW-CLASS I",c-t-ico,O,Open,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143007,c-t-id,143007,"KIRKEBY, JASON",c-t-eid,17660734,"KIRKEBY, JASON",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,250,"CONSTITUTION WRITEIN",c-t-p,3,Third-Party,s,ND,ND,y,2012,2012,c-r-t,1,Standard,c-r-osid,15437,"US SENATE DISTRICT ND SW-CLASS I",c-t-ico,O,Open,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143008,c-t-id,143008,"MOWINSKI, BERNARD (BERNIE)",c-t-eid,3763295,"MOWINSKI, BERNARD (BERNIE)",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,177,WRITEIN,c-t-p,3,Third-Party,s,MO,MO,y,2012,2012,c-r-t,1,Standard,c-r-osid,15433,"US SENATE DISTRICT MO SW-CLASS I",c-t-ico,C,Challenger,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143009,c-t-id,143009,"OLSON, ERIC",c-t-eid,17660739,"OLSON, ERIC",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,261,"LIBERTARIAN WRITEIN",c-t-p,3,Third-Party,s,ND,ND,y,2012,2012,c-r-t,1,Standard,c-r-osid,15437,"US SENATE DISTRICT ND SW-CLASS I",c-t-ico,O,Open,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143012,c-t-id,143012,"ANDERSON, ROBERT L",c-t-eid,17660743,"ANDERSON, ROBERT L",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,177,WRITEIN,c-t-p,3,Third-Party,s,NM,NM,y,2012,2012,c-r-t,1,Standard,c-r-osid,14956,"US SENATE DISTRICT NM SW-CLASS I",c-t-ico,O,Open,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143013,c-t-id,143013,"BAILEY, CHARLIE L",c-t-eid,17660744,"BAILEY, CHARLIE L",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,177,WRITEIN,c-t-p,3,Third-Party,s,MO,MO,y,2012,2012,c-r-t,1,Standard,c-r-osid,15433,"US SENATE DISTRICT MO SW-CLASS I",c-t-ico,C,Challenger,0,0.00
