request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=192002&c-t-p=2,c-t-id,192002,"KASICH, JOHN R",c-t-eid,1661909,"KASICH, JOHN R",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,25796,18842368.89
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142431&c-t-p=2,c-t-id,142431,"CAIN, HERMAN",c-t-eid,2977411,"CAIN, HERMAN",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,20193,16195914.26
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142411&c-t-p=2,c-t-id,142411,"HUNTSMAN JR, JON M",c-t-eid,6664084,"HUNTSMAN JR, JON M",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,4224,14202799.74
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=192007&c-t-p=2,c-t-id,192007,"FIORINA, CARLY",c-t-eid,18930573,"FIORINA, CARLY",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,27766,11937638.11
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=192000&c-t-p=2,c-t-id,192000,"PAUL, RANDAL (RAND)",c-t-eid,9337758,"PAUL, RANDAL (RAND)",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,29602,11833950.07
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=220699&c-t-p=3,c-t-id,220699,"JOHNSON, GARY EARL & WELD, WILLIAM FLOYD (BILL))",c-t-eid,"17659048,42113375","JOHNSON, GARY EARL & WELD, WILLIAM FLOYD (BILL))",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,73,LIBERTARIAN,c-t-p,3,Third-Party,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,13507,11608790.25
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=220700&c-t-p=3,c-t-id,220700,"STEIN, JILL E & BARAKA, AJAMU",c-t-eid,"6528028,42113427","STEIN, JILL E & BARAKA, AJAMU",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,51,GREEN,c-t-p,3,Third-Party,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,11725,10453372.78
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=143278&c-t-p=2,c-t-id,143278,"BACHMANN, MICHELE",c-t-eid,6597408,"BACHMANN, MICHELE",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,13047,10310821.01
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=192001&c-t-p=2,c-t-id,192001,"CHRISTIE, CHRISTOPHER J (CHRIS)",c-t-eid,6680183,"CHRISTIE, CHRISTOPHER J (CHRIS)",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,6098,8450767.64
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=191995&c-t-p=2,c-t-id,191995,"WALKER, SCOTT K",c-t-eid,4656950,"WALKER, SCOTT K",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,7303,8067461.71
