request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
f-fc=1&c-exi=1&c-r-ot=L&c-t-id=213031,c-t-id,213031,"WRIGHT, KEITH L T",c-t-eid,6437762,"WRIGHT, KEITH L T",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NY,NY,y,2016,2016,c-r-t,1,Standard,c-r-osid,15258,"US HOUSE DISTRICT NY 013",c-t-ico,O,Open,963,937560.15
f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160256,c-t-id,160256,"CAPPS, LOIS",c-t-eid,16563796,"CAPPS, LOIS",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2010,2010,c-r-t,1,Standard,c-r-osid,15018,"US HOUSE DISTRICT CA 023",c-t-ico,I,Incumbent,1060,937150.06
f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160849,c-t-id,160849,"DESJARLAIS, SCOTT",c-t-eid,16586618,"DESJARLAIS, SCOTT",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TN,TN,y,2010,2010,c-r-t,1,Standard,c-r-osid,15330,"US HOUSE DISTRICT TN 004",c-t-ico,C,Challenger,991,936986.33
f-fc=1&c-exi=1&c-r-ot=L&c-t-id=163351,c-t-id,163351,"VISCLOSKY, PETER J",c-t-eid,16562743,"VISCLOSKY, PETER J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IN,IN,y,2014,2014,c-r-t,1,Standard,c-r-osid,15129,"US HOUSE DISTRICT IN 001",c-t-ico,I,Incumbent,1226,936787.00
f-fc=1&c-exi=1&c-r-ot=L&c-t-id=198665,c-t-id,198665,"KING, STEVEN (STEVE)",c-t-eid,6587767,"KING, STEVEN (STEVE)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IA,IA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15108,"US HOUSE DISTRICT IA 004",c-t-ico,I,Incumbent,1204,936186.29
f-fc=1&c-exi=1&c-r-ot=L&c-t-id=168084,c-t-id,168084,"GOMEZ REYES, ELOISE",c-t-eid,2536758,"GOMEZ REYES, ELOISE",c-t-ftsts,"Lost-Top Two Primary","Lost-Top Two Primary",c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2014,2014,c-r-t,1,Standard,c-r-osid,15026,"US HOUSE DISTRICT CA 031",c-t-ico,O,Open,1320,936003.46
f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160167,c-t-id,160167,"FILNER, BOB",c-t-eid,16413120,"FILNER, BOB",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2010,2010,c-r-t,1,Standard,c-r-osid,15046,"US HOUSE DISTRICT CA 051",c-t-ico,I,Incumbent,922,935373.44
f-fc=1&c-exi=1&c-r-ot=L&c-t-id=175892,c-t-id,175892,"HARTZLER, V (VICKI)",c-t-eid,955870,"HARTZLER, V (VICKI)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,MO,MO,y,2014,2014,c-r-t,1,Standard,c-r-osid,15198,"US HOUSE DISTRICT MO 004",c-t-ico,I,Incumbent,863,934970.97
f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160419,c-t-id,160419,"SMITH, ADRIAN",c-t-eid,6558263,"SMITH, ADRIAN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NE,NE,y,2010,2010,c-r-t,1,Standard,c-r-osid,15224,"US HOUSE DISTRICT NE 003",c-t-ico,I,Incumbent,1678,934897.10
f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141084,c-t-id,141084,"KREEGEL, PAIGE",c-t-eid,654263,"KREEGEL, PAIGE",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,FL,FL,y,2012,2012,c-r-t,1,Standard,c-r-osid,15080,"US HOUSE DISTRICT FL 019",c-t-ico,O,Open,643,934037.00
