"","Zip_Code","Latitude","Longitude"
"307",1242,42.338594,-73.250891
"308",1243,42.356088,-73.010448
"309",1244,42.122827,-73.253983
"310",1245,42.18669,-73.206498
"311",1247,42.426974,-73.18632
"312",1252,42.198648,-73.446234
"313",1253,42.213156,-73.090434
"314",1254,42.233105,-73.238358
"315",1255,42.148975,-73.14861
"316",1256,42.367341,-73.128528
"317",1257,42.314564,-73.267694
"318",1258,42.128075,-73.36089
"319",1259,42.198712,-73.278543
"320",1260,42.286586,-73.313274
"321",1262,42.304604,-73.330001
"322",1263,42.3929,-73.228483
"323",1264,42.220001,-73.197865
"324",1266,42.360482,-73.265354
"325",1267,42.642075,-73.257699
"326",1270,42.443726,-73.116127
"327",1301,42.601335,-72.623619
"328",1302,42.522178,-72.624164
"329",1330,42.562391,-72.738152
"330",1331,42.547302,-72.183903
"331",1337,42.62706,-72.642888
"332",1338,42.573832,-72.769487
"333",1339,42.594252,-72.665507
"334",1340,42.681539,-72.822986
"335",1341,42.590824,-72.70976
"336",1342,42.54723,-72.607679
"337",1343,42.642666,-72.986231
"338",1344,42.627072,-72.553654
"339",1346,42.618011,-72.788896
"340",1347,42.556558,-72.518104
"341",1349,42.621412,-72.705633
"342",1350,42.721456,-72.976204
"343",1351,42.548107,-72.48693
"344",1354,42.522178,-72.624164
"345",1355,42.518718,-72.534371
"346",1360,42.614152,-72.528209
"347",1364,42.578325,-72.556589
"348",1366,42.459632,-72.182962
"349",1367,42.683065,-72.715667
"350",1368,42.672182,-72.196376
"351",1369,42.522178,-72.624164
"352",1370,42.588812,-72.758781
"353",1373,42.464522,-72.682346
"354",1375,42.565346,-72.70094
"355",1376,42.654878,-72.718123
"356",1378,42.667059,-72.339655
"357",1379,42.581007,-72.437179
"358",1380,42.553431,-72.392694
"359",1420,42.583689,-71.816767
"360",1430,42.654906,-71.920942
"361",1431,42.446396,-71.459405
"362",1432,42.446396,-71.459405
"363",1436,42.601427,-72.083838
"364",1438,42.551681,-72.029434
"365",1440,42.582529,-72.025884
"366",1441,42.364807,-71.896868
"367",1450,42.446396,-71.459405
"368",1451,42.500187,-71.575864
"369",1452,42.483895,-72.011516
"370",1453,42.471316,-71.837509
"371",1460,42.446396,-71.459405
"372",1462,42.583322,-71.752266
"373",1463,42.446396,-71.459405
"374",1464,42.446396,-71.459405
"375",1467,42.487056,-71.613078
"376",1468,42.555059,-72.072285
"377",1469,42.446396,-71.459405
"378",1470,42.446396,-71.459405
"379",1471,42.446396,-71.459405
"380",1472,42.446396,-71.459405
"381",1473,42.549489,-71.913219
"382",1474,42.446396,-71.459405
"383",1475,42.661612,-72.047876
"384",1477,42.364807,-71.896868
"385",1501,42.184835,-71.947184
"386",1503,42.3129,-71.841656
"387",1504,42.114078,-71.799785
"388",1505,42.300037,-71.943458
"389",1506,42.19169,-72.105011
"390",1507,42.13277,-71.972627
"391",1508,42.109748,-72.079455
"392",1509,42.364807,-71.896868
"393",1510,42.413972,-71.687523
"394",1515,42.205311,-72.049907
"395",1516,42.113076,-71.891139
"396",1517,42.364807,-71.896868
"397",1518,42.106405,-72.114045
"398",1519,42.203944,-71.682862
"399",1520,42.336791,-71.845316
"400",1521,42.061063,-72.163991
"401",1522,42.264629,-71.795442
"402",1523,42.427188,-71.91177
"403",1524,42.238192,-72.012379
"404",1525,42.364807,-71.896868
"405",1526,42.364807,-71.896868
"406",1527,42.255642,-71.819961
"407",1529,42.124662,-71.846943
"408",1531,42.320938,-72.128644
"409",1532,42.322118,-71.64282
"410",1534,42.207191,-71.856807
"411",1535,42.275382,-72.089338
"412",1536,42.407556,-71.860402
"413",1537,42.166241,-71.891052
"414",1538,42.364807,-71.896868
"415",1540,42.109223,-71.855444
"416",1541,42.451926,-71.880057
"417",1542,42.220085,-71.914361
"418",1543,42.383516,-71.95463
"419",1545,42.286992,-71.715313
"420",1546,42.364807,-71.896868
"421",1550,42.129251,-72.031155
"422",1560,42.176544,-71.681912
"423",1561,42.443539,-71.686137
"424",1562,42.254837,-72.065612
"425",1564,42.366765,-71.939375
"426",1566,42.10273,-72.080996
"427",1568,42.175591,-71.603197
"428",1569,42.059736,-71.638438
"429",1570,42.1351,-71.994169
"430",1571,42.059189,-71.937037
"431",1580,42.364807,-71.896868
"432",1581,42.255222,-71.845865
"433",1582,42.364807,-71.896868
"434",1583,42.362783,-71.781215
"435",1585,42.235638,-72.172523
"436",1586,42.364807,-71.896868
"437",1588,42.166554,-71.899484
"438",1590,42.126575,-71.755193
"439",1601,42.265275,-71.879415
"440",1602,42.274595,-71.846966
"441",1603,42.245442,-71.839257
"442",1604,42.247955,-71.76678
"443",1605,42.288792,-71.796128
"444",1606,42.311834,-71.794465
"445",1607,42.226452,-71.792506
"446",1608,42.293501,-71.925696
"447",1609,42.282565,-71.827685
"448",1610,42.246483,-71.808915
"449",1611,42.239392,-71.878716
"450",1612,42.304675,-71.892875
"451",1613,42.293316,-71.801971
"452",1614,42.364807,-71.896868
"453",1615,42.364807,-71.896868
"454",1653,42.364807,-71.896868
"455",1654,42.364807,-71.896868
"456",1655,42.364807,-71.896868
"457",1701,42.446396,-71.459405
"458",1702,42.446396,-71.459405
"459",1703,42.446396,-71.459405
"460",1704,42.446396,-71.459405
"461",1705,42.446396,-71.459405
"462",1718,42.446396,-71.459405
"463",1719,42.446396,-71.459405
"464",1720,42.446396,-71.459405
"465",1721,42.446396,-71.459405
"466",1730,42.446396,-71.459405
"467",1731,42.446396,-71.459405
"468",1740,42.436043,-71.605916
"469",1741,42.446396,-71.459405
"470",1742,42.446396,-71.459405
"471",1745,42.293442,-71.502762
"472",1746,42.446396,-71.459405
"473",1747,42.127515,-71.533138
"474",1748,42.446396,-71.459405
"475",1749,42.446396,-71.459405
"476",1752,42.446396,-71.459405
"477",1754,42.446396,-71.459405
"478",1756,42.100352,-71.546961
"479",1757,42.147087,-71.528085
"480",1760,42.446396,-71.459405
"481",1770,42.446396,-71.459405
"482",1772,42.296842,-71.533229
"483",1773,42.446396,-71.459405
"484",1775,42.446396,-71.459405
"485",1776,42.446396,-71.459405
"486",1778,42.446396,-71.459405
"487",1784,42.446396,-71.459405
"488",1801,42.488595,-71.157271
"489",1803,42.504844,-71.201539
"490",1805,42.446396,-71.459405
"491",1806,42.446396,-71.459405
"492",1807,42.446396,-71.459405
"493",1808,42.446396,-71.459405
"494",1810,42.647991,-71.165685
"495",1812,42.647191,-71.184202
"496",1813,42.446396,-71.459405
"497",1815,42.446396,-71.459405
"498",1821,42.446396,-71.459405
"499",1822,42.446396,-71.459405
"500",1824,42.446396,-71.459405
"501",1826,42.446396,-71.459405
"502",1827,42.446396,-71.459405
"503",1830,42.792639,-71.072501
"504",1831,42.771095,-71.122054
"505",1832,42.789627,-71.126562
"506",1833,42.72377,-70.981298
"507",1834,42.751074,-71.021437
"508",1835,42.752844,-71.084301
"509",1840,42.70734,-71.161052
